Systems,Temperature (K),K_FAME/FAEE,K_GLYCEROL,K_ALCOHOL,K_OIL,K_DAG,K_MAG,K_ACID,K_WATER
Sesame oil - Linoleic acid - Ethanol - Water,298.15,0.0,0.0,0.5332700226427091,-1.1094946061029887,0.0,0.0,-0.03830864057732961,1.0144567023042153
Rice bran oil - Ethanol - Free Fatty Acids - Water,333.15,0.0,0.0,1.0775258035796749,-1.8427193048214576,0.0,0.0,-0.3703563615016563,1.3553668958108094
Waste fish oil biodiesel - Methanol - Glycerol,313.15,-1.4577944565892549,2.826385982507293,0.9946459067075744,0.0,0.0,0.0,0.0,0.0
Castor oil biodiesel - Ethanol - Water,298.2,-4.464644109789652,0.0,0.5341640831030595,0.0,0.0,0.0,0.0,1.4529860274343314
10 % Beef Tallow/Sunflower oil biodiesel - Methanol - Glycerol,318.15,-1.9905839571326212,2.0354193561090925,0.9766514486575307,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Methanol - Glycerol,303.15,-2.4608323978174895,1.8042620261103308,0.6889040077238253,0.0,0.0,0.0,0.0,0.0
Oleic oil biodiesel - Methanol - Glycerol,318.15,-3.3430557510747163,2.323832705962044,0.5638829732217284,0.0,0.0,0.0,0.0,0.0
Lauric oil biodiesel - Ethanol - Glycerol,323.15,-1.8661600221223906,2.2620536121308747,0.19966403798825186,0.0,0.0,0.0,0.0,0.0
Cambre oil biodiesel - Ethanol - Glycerol,318.15,-1.6170226765717544,1.3567656386673532,0.47456620997088167,0.0,0.0,0.0,0.0,0.0
Avocado Seed oil - Oleic acid - Ethanol - Water,298.15,0.0,0.0,0.6378876157907778,-1.0753317004411274,0.0,0.0,-0.0605584222704767,1.2950232794919696
Castor oil biodiesel - Ethanol - Glycerol,298.15,-2.0015218844832905,1.1351054002933707,0.040524776058919715,0.0,0.0,0.0,0.0,0.0
Crude grape seed oil - Oleic acid - Ethanol - Water,283.15,0.0,0.0,0.41990504763642345,-0.7992908638180183,0.0,0.0,-0.00398354249210085,0.9663759094677326
Brazil nut oil biodiesel - Methanol - Glycerol,303.15,-1.6381457396694734,1.8524907450205081,0.4395690002553015,0.0,0.0,0.0,0.0,0.0
Sunflower oil biodiesel - Methanol - Glycerol,318.15,-2.021338070325808,1.8590842715301363,0.9015335709850868,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Ethanol - Water,333.2,-2.667928871196489,0.0,0.8501928778148473,0.0,0.0,0.0,0.0,1.8226810522026242
Corn oil - Oleic acid - Ethanol - Water,298.15,0.0,0.0,0.9072105732518538,-1.7869253264004428,0.0,0.0,-0.1210884182242064,3.162172016727057
Castor oil biodiesel - Methanol/Ethanol - Glycerol - Water,318.15,-2.028073182600487,0.8713419927804822,0.28378525495745366,0.0,0.0,0.0,0.0,0.9646162571431204
20 % Beef Tallow/Sunflower oil biodiesel - Methanol - Glycerol,298.15,-2.3130647381090483,2.318898787969347,0.9229770425822268,0.0,0.0,0.0,0.0,0.0
Refined Soybean oil - Linoleic acid - Ethanol - Water,323.15,0.0,0.0,0.860523787793394,-2.1939443762315367,0.0,0.0,-0.2411533394304973,2.2391578613346943
Refined rice bran oil biodiesel - DAG - MAG - Ethanol,318.2,0.0,0.0,-0.4247436901528159,0.5468039040819807,0.21848813147755797,-0.27606604762474135,0.0,0.0
Soybean oil biodiesel - Ethanol - Glycerol,343.15,-1.3808170087778717,1.6910713033193967,0.36578301393799106,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Ethanol - Water,298.2,-3.3158733359482966,0.0,1.0446041161847401,0.0,0.0,0.0,0.0,3.442480389438135
Refined soybean oil biodiesel - DAG - MAG - Ethanol,303.2,0.0,0.0,-0.3912530627174337,0.5359880394081135,0.07584033677708706,-0.22992222793532358,0.0,0.0
Sunflower oil - Oleic acid - Methanol/Ethanol,313.15,0.0,0.0,-0.8379221216886023,1.2694374366612788,0.0,0.0,-0.039019144945227825,0.0
Frying oil biodiesel - Methanol - Glycerol,293.15,-2.430006632927758,2.245697979358843,0.8251887259021602,0.0,0.0,0.0,0.0,0.0
Macauba oil biodiesel - Ethanol - Water,298.2,-3.643966223216675,0.0,0.5206713386325814,0.0,0.0,0.0,0.0,2.2115295347080823
Palmitic oil biodiesel - Ethanol - Glycerol,323.15,-1.7286096289886987,1.7192349888240834,0.34179863193236476,0.0,0.0,0.0,0.0,0.0
Linoleic oil biodiesel - Ethanol - Glycerol,323.15,-1.4953657773833806,1.4552548483097765,0.35674188415433933,0.0,0.0,0.0,0.0,0.0
Oleic oil biodiesel - Ethanol - Glycerol,353.15,-1.6892995883627124,1.4426862698922687,0.30476872656721743,0.0,0.0,0.0,0.0,0.0
Frying oil biodiesel - Methanol - Glycerol,303.15,-2.124398872718822,1.942772956610105,0.8386973367189704,0.0,0.0,0.0,0.0,0.0
Peanut oil - Oleic acid - Ethanol - Water,298.15,0.0,0.0,0.34950169232034384,-0.7272272165695082,0.0,0.0,-0.05466046514182859,1.045208529692643
Penaut oil biodiesel - Ethanol - Glycerol,323.15,-1.67459728100906,1.547281790312026,0.49156360208007405,0.0,0.0,0.0,0.0,0.0
Jatropha oil biodiesel - Methanol - Glycerol,328.15,-1.2319963701888421,1.4814573690068789,0.14419496973955873,0.0,0.0,0.0,0.0,0.0
Jatropha oil biodiesel - Methanol - Glycerol,333.15,-3.4390050122299543,4.753993636589599,0.6369182049179126,0.0,0.0,0.0,0.0,0.0
Corn oil biodiesel - Methanol - Glycerol,293.15,-2.4328007643908807,2.5832417347810144,0.906493149735333,0.0,0.0,0.0,0.0,0.0
Palm oil - Palmitic acid - Ethanol - Water,318.15,0.0,0.0,0.41746717049334603,-0.8243341158366698,0.0,0.0,-0.03133675345898752,0.6563553443651633
