Systems,Temperature (K),K_FAME/FAEE,K_GLYCEROL,K_ALCOHOL,K_OIL,K_DAG,K_MAG,K_ACID,K_WATER
Cambre oil biodiesel - Ethanol - Glycerol,298.15,0.6621833692758706,0.3844400855162528,0.07136820308923746,0.0,0.0,0.0,0.0,0.0
Sesame oil - Linoleic acid - Ethanol - Water,298.15,0.0,0.0,0.7616850105509149,1.3517707315784004,0.0,0.0,0.06854464736275703,0.7849702131109945
Coconut oil - Caporic ester - Ethanol,303.2,,,,,,,,
Babassu oil - Ethanol - Water,308.2,0.0,0.0,0.1725945983308958,0.3580702823043908,0.0,0.0,0.0,1.5083007648804
Canola oil biodiesel - Methanol - Glycerol,293.15,0.4052416173167802,0.6066121074214412,0.08548149619795442,0.0,0.0,0.0,0.0,0.0
Jatropha oil biodiesel - Methanol - Glycerol,308.15,0.11256725924300404,0.5368204978741917,0.11103299625123937,0.0,0.0,0.0,0.0,0.0
Macadamia Nut oil - Oleic acid - Ethanol - Water,298.15,0.0,0.0,0.7688287623357364,1.2274525818963349,0.0,0.0,0.06821590825463256,0.6315290948173145
Jatropha oil biodiesel - Methanol - Glycerol,318.15,0.896632148174338,0.8139246184736829,0.07469305975928449,0.0,0.0,0.0,0.0,0.0
Jatropha oil biodiesel - Methanol - Glycerol,303.15,1.3460597604699651,1.0141742187412763,0.052508579201494945,0.0,0.0,0.0,0.0,0.0
Corn oil biodiesel - Methanol - Glycerol,303.15,0.378095721888072,1.1122209517927284,0.08204509841263584,0.0,0.0,0.0,0.0,0.0
Lauric oil biodiesel - Ethanol - Glycerol,323.15,0.645584537688255,1.242836116114504,0.11317619099714236,0.0,0.0,0.0,0.0,0.0
Frying oil biodiesel - Methanol - Glycerol,313.15,1.2972383163041423,0.3327905912412686,0.03570398365861126,0.0,0.0,0.0,0.0,0.0
Brazil nut oil biodiesel - Methanol - Glycerol,323.15,0.35397733817518806,0.21809297143119483,0.11104991646939102,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Methanol - Glycerol,333.15,0.6802111685169461,0.3900435293072193,0.22201427669922272,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Methanol - Glycerol,318.15,1.194657831759442,1.3355826442732814,0.16484685828406684,0.0,0.0,0.0,0.0,0.0
Sunflower oil - Oleic acid - Methanol/Ethanol,313.15,0.0,0.0,0.28787668255916343,0.6055330963753457,0.0,0.0,0.06758314151302894,0.0
Palmitic oil biodiesel - Ethanol - Glycerol,353.15,0.8337102654128655,0.9251640820470742,0.13972351115314555,0.0,0.0,0.0,0.0,0.0
Mixed oil - Oleic acid - Ethanol,308.15,0.0,0.0,0.08034025571101981,0.10378934400079355,0.0,0.0,0.010654579607320596,0.0
Oleic oil biodiesel - Methanol - Glycerol,308.15,1.4441166933919947,0.694794371136714,0.05773656937979376,0.0,0.0,0.0,0.0,0.0
Soybean oil - Oleic acid - Ethanol - Water,303.15,0.0,0.0,0.21644703026675577,0.3893118283501308,0.0,0.0,0.1488036195081081,1.3241855820267783
Frying oil biodiesel - Methanol - Glycerol,293.15,0.15267375353045698,0.2747871667561612,0.04718772155071083,0.0,0.0,0.0,0.0,0.0
Corn oil - Ethanol - Oleic acid,298.15,0.0,0.0,0.2194003572808375,0.3184239385809728,0.0,0.0,0.04882814295353689,0.0
Waste fish oil biodiesel - Methanol - Glycerol,313.15,0.21884630261494847,1.21988254502696,0.17550461956016242,0.0,0.0,0.0,0.0,0.0
Oleic oil biodiesel - Ethanol - Glycerol,353.15,0.6044324265491591,0.341106555683869,0.1578398709485545,0.0,0.0,0.0,0.0,0.0
Soybean oil - Ethyl linoleate - Linoleic acid - DAG - MAG - Ethanol,303.2,,,,,,,,
Soybean oil biodiesel - Methanol - Glycerol,303.15,0.9354385823039666,0.20887584194600478,0.18439605298780382,0.0,0.0,0.0,0.0,0.0
Linoleic oil biodiesel - Ethanol - Glycerol,323.15,0.4982692113725943,0.42806583788792196,0.18335375830808676,0.0,0.0,0.0,0.0,0.0
Castor oil biodiesel - Ethanol - Water,333.2,1.1785602486628375,0.0,0.04028843902119111,0.0,0.0,0.0,0.0,0.25922822201993145
Penaut oil biodiesel - Ethanol - Glycerol,303.15,0.2303737818165972,0.09720283403429877,0.03693706770229412,0.0,0.0,0.0,0.0,0.0
Brazil nut oil biodiesel - Methanol - Glycerol,303.15,0.4110475803742381,0.3690836576800833,0.11680825005304436,0.0,0.0,0.0,0.0,0.0
Crude grape seed oil - Oleic acid - Ethanol - Water,290.15,0.0,0.0,0.8499002496888561,1.3442775688975255,0.0,0.0,0.10919439411833987,0.668253049313407
Canola oil biodiesel - Methanol - Glycerol,313.15,1.1068115409392687,0.7366506375562786,0.05956138537666322,0.0,0.0,0.0,0.0,0.0
Rice bran oil - Ethanol - Free Fatty Acids - Water,308.15,0.0,0.0,0.09808760237956514,1.162570530377029,0.0,0.0,0.2882586618506212,1.0878310723399351
10 % Beef Tallow/Sunflower oil biodiesel - Methanol - Glycerol,318.15,0.23599250440613087,0.157086482310264,0.05803030846035689,0.0,0.0,0.0,0.0,0.0
Cambre oil biodiesel - Ethanol - Glycerol,318.15,0.5551768088401635,0.40244616903441693,0.07503899680606144,0.0,0.0,0.0,0.0,0.0
Sunflower oil biodiesel - Ethanol - Glycerol,313.15,0.026548252373152035,0.10384155250654994,0.12359836570944706,0.0,0.0,0.0,0.0,0.0
Canola oil - Oleic acid - Methanol/Ethanol/Propanol,283.15,0.0,0.0,0.10506508101760657,0.16819743787413124,0.0,0.0,0.041791337135903335,0.0
Sunflower oil biodiesel - Ethanol - Glycerol,298.15,0.048047033077835054,0.04072163914673186,0.0703801941920329,0.0,0.0,0.0,0.0,0.0
Babassu oil - Lauric acid - Ethanol - Water,303.2,0.0,0.0,0.5489089116384063,1.5223976171777092,0.0,0.0,0.14490517786098459,0.9612215084503413
