,Ref,Sub Ref,Temperature (K),Type Alcohol,FAME/FAEE_F,GLYCEROL_F,ALCOHOL_F,OIL_F,DAG_F,MAG_F,ACID_F,WATER_F,FAME/FAEE_L,GLYCEROL_L,ALCOHOL_L,OIL_L,DAG_L,MAG_L,ACID_L,WATER_L,FAME/FAEE_H,GLYCEROL_H,ALCOHOL_H,OIL_H,DAG_H,MAG_H,ACID_H,WATER_H,R2_othmer_tobias,a_othmer_tobias,b_othmer_tobias
0,1,a,298.15,1,0.375,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.8057,0.0433,0.151,0.0,0.0,0.0,0.0,0.0,0.0021,0.5893,0.4086,0.0,0.0,0.0,0.0,0.0,0.9808092961873425,-0.9380201710337962,1.1907147161459766
1,1,a,298.15,1,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.8839,0.0155,0.10060000000000001,0.0,0.0,0.0,0.0,0.0,0.0015,0.7286,0.2699,0.0,0.0,0.0,0.0,0.0,0.9808092961873425,-0.9380201710337962,1.1907147161459766
2,1,a,298.15,1,0.35,0.35,0.3,0.0,0.0,0.0,0.0,0.0,0.9223,0.0014000000000000002,0.07629999999999999,0.0,0.0,0.0,0.0,0.0,0.0012,0.7829,0.2159,0.0,0.0,0.0,0.0,0.0,0.9808092961873425,-0.9380201710337962,1.1907147161459766
3,1,a,298.15,1,0.36,0.36,0.28,0.0,0.0,0.0,0.0,0.0,0.8432,0.029900000000000003,0.12689999999999999,0.0,0.0,0.0,0.0,0.0,0.0018,0.6554000000000001,0.3428,0.0,0.0,0.0,0.0,0.0,0.9808092961873425,-0.9380201710337962,1.1907147161459766
4,1,a,298.15,1,0.42,0.42,0.16,0.0,0.0,0.0,0.0,0.0,0.8158,0.0397,0.1445,0.0,0.0,0.0,0.0,0.0,0.002,0.6188,0.37920000000000004,0.0,0.0,0.0,0.0,0.0,0.9808092961873425,-0.9380201710337962,1.1907147161459766
5,1,a,298.15,1,0.385,0.385,0.23,0.0,0.0,0.0,0.0,0.0,0.8562000000000001,0.026600000000000002,0.11720000000000001,0.0,0.0,0.0,0.0,0.0,0.0018,0.6731999999999999,0.325,0.0,0.0,0.0,0.0,0.0,0.9808092961873425,-0.9380201710337962,1.1907147161459766
6,1,a,298.15,1,0.41,0.41,0.18,0.0,0.0,0.0,0.0,0.0,0.9085,0.0067,0.0848,0.0,0.0,0.0,0.0,0.0,0.0011,0.7445999999999999,0.25429999999999997,0.0,0.0,0.0,0.0,0.0,0.9808092961873425,-0.9380201710337962,1.1907147161459766
7,2,a,293.15,2,0.4902,0.4768,0.033,0.0,0.0,0.0,0.0,0.0,0.9305,0.0219,0.047599999999999996,0.0,0.0,0.0,0.0,0.0,0.0248,0.9309000000000001,0.0443,0.0,0.0,0.0,0.0,0.0,0.9434288945567024,-1.3613745348701107,0.5568705074664843
8,2,a,293.15,2,0.46009999999999995,0.4583,0.0816,0.0,0.0,0.0,0.0,0.0,0.9095,0.0218,0.0687,0.0,0.0,0.0,0.0,0.0,0.0245,0.8652,0.1103,0.0,0.0,0.0,0.0,0.0,0.9434288945567024,-1.3613745348701107,0.5568705074664843
9,2,a,293.15,2,0.44310000000000005,0.43799999999999994,0.1189,0.0,0.0,0.0,0.0,0.0,0.8931999999999999,0.0217,0.0851,0.0,0.0,0.0,0.0,0.0,0.024300000000000002,0.8157,0.16,0.0,0.0,0.0,0.0,0.0,0.9434288945567024,-1.3613745348701107,0.5568705074664843
