Ref,Sub Ref,Temperature (K),Type Alcohol,FAME/FAEE_F,GLYCEROL_F,ALCOHOL_F,OIL_F,DAG_F,MAG_F,ACID_F,WATER_F,FAME/FAEE_L,GLYCEROL_L,ALCOHOL_L,OIL_L,DAG_L,MAG_L,ACID_L,WATER_L,FAME/FAEE_H,GLYCEROL_H,ALCOHOL_H,OIL_H,DAG_H,MAG_H,ACID_H,WATER_H,Reconcile phi,Type Alcohol_right,MW_FAME/FAEE,MW_Oil,MW_DAG,MW_MAG,MW_FA
1,a,298.15,1,0.41,0.41,0.18,0.0,0.0,0.0,0.0,0.0,0.9076699760392778,0.005553468663497218,0.08676180633617062,0.0,0.0,0.0,0.0,0.0,0.0001461024182934755,0.7430801438955699,0.2567859001274822,0.0,0.0,0.0,0.0,0.0,0.4516177584909207,1,324.139908717946,968.4197261538378,659.2798174358919,350.139908717946,296.139908717946
2,a,293.15,2,0.4005,0.3935,0.206,0.0,0.0,0.0,0.0,0.0,0.8560271341410531,0.02277996502887219,0.1211322473458598,0.0,0.0,0.0,0.0,0.0,0.02385089391250979,0.7000270086355861,0.2761722483186658,0.0,0.0,0.0,0.0,0.0,0.4526073779564407,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
2,a,313.15,2,0.3352000000000001,0.3415,0.3233,0.0,0.0,0.0,0.0,0.0,0.8084431368635694,0.02171523212136552,0.1698698211567837,0.0,0.0,0.0,0.0,0.0,0.03156767243616523,0.5466735901210594,0.4217406506757889,0.0,0.0,0.0,0.0,0.0,0.390837838838979,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
2,a,333.15,2,0.4079,0.4702,0.1219,0.0,0.0,0.0,0.0,0.0,0.9029644303625529,0.02017751718831478,0.07685203549911238,0.0,0.0,0.0,0.0,0.0,0.04215141065382705,0.8026720544796513,0.1551809801282835,0.0,0.0,0.0,0.0,0.0,0.4248873808506424,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
3,a,298.15,2,0.4036,0.2472,0.3492,0.0,0.0,0.0,0.0,0.0,0.8377875210988539,0.01191056942906143,0.1503019349986839,0.0,0.0,0.0,0.0,0.0,0.01918543559512356,0.4555170970300774,0.5252974447744339,0.0,0.0,0.0,0.0,0.0,0.4695988090090502,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
3,a,298.15,2,0.401,0.3,0.299,0.0,0.0,0.0,0.0,0.0,0.8707411674942792,0.008396584776236586,0.1208622747618352,0.0,0.0,0.0,0.0,0.0,0.007755998664617902,0.5441159126361904,0.4481280660690484,0.0,0.0,0.0,0.0,0.0,0.455678748070121,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
3,a,318.15,2,0.4025,0.1571,0.4404,0.0,0.0,0.0,0.0,0.0,0.6784489997206564,0.04563931695633651,0.2759117039701454,0.0,0.0,0.0,0.0,0.0,0.1052145260061314,0.2771788624849488,0.6176065892653376,0.0,0.0,0.0,0.0,0.0,0.5186105993721497,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
3,a,338.15,2,0.4013,0.1994,0.3993,0.0,0.0,0.0,0.0,0.0,0.6942781315783109,0.04894817036998054,0.2567737176645733,0.0,0.0,0.0,0.0,0.0,0.06813130462303742,0.3704907210885546,0.5613779519850624,0.0,0.0,0.0,0.0,0.0,0.5320935618200638,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
4,a,293.15,1,0.3995,0.334,0.2665,0.0,0.0,0.0,0.0,0.0,0.933993991344903,0.00711475159026362,0.05867261139561984,0.0,0.0,0.0,0.0,0.0,0.002282410309204152,0.5769298974008583,0.4209501822470328,0.0,0.0,0.0,0.0,0.0,0.426331064007217,1,307.1628002434572,917.4884007303717,625.3256004869145,333.1628002434572,279.1628002434572
4,a,313.15,1,0.1885,0.5005,0.311,0.0,0.0,0.0,0.0,0.0,0.8995700271386805,0.01172924453042298,0.088842436625161,0.0,0.0,0.0,0.0,0.0,0.003016431623161217,0.6279965058048482,0.3689500977737489,0.0,0.0,0.0,0.0,0.0,0.2068850867417307,1,307.1628002434572,917.4884007303717,625.3256004869145,333.1628002434572,279.1628002434572
4,a,313.15,1,0.2055,0.274,0.5205,0.0,0.0,0.0,0.0,0.0,0.8377585032669279,0.01369520132077488,0.1487241901418592,0.0,0.0,0.0,0.0,0.0,0.0248573267531771,0.3483717236690755,0.6267201232474748,0.0,0.0,0.0,0.0,0.0,0.2222197217397768,1,307.1628002434572,917.4884007303717,625.3256004869145,333.1628002434572,279.1628002434572
5,a,303.15,1,0.2494,0.5474,0.2032,0.0,0.0,0.0,0.0,0.0,0.9529053907695099,0.002607449122483499,0.04468978259372305,0.0,0.0,0.0,0.0,0.0,0.001983288850204639,0.7389987893846635,0.2589466612038359,0.0,0.0,0.0,0.0,0.0,0.2601860979468443,1,307.8027616373293,919.4082849119878,626.6055232746586,333.8027616373293,279.8027616373293
5,a,313.15,1,0.2478,0.5532,0.199,0.0,0.0,0.0,0.0,0.0,0.9348605661123922,0.006852572801542507,0.05818999049928136,0.0,0.0,0.0,0.0,0.0,0.002878617808916393,0.7479603655717582,0.2491955487685696,0.0,0.0,0.0,0.0,0.0,0.2627962726498339,1,307.8027616373293,919.4082849119878,626.6055232746586,333.8027616373293,279.8027616373293
